GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
social-app,info.yash.social.app.controllers,AdminController,14,6,0,0,4,1,2,1,2,1
social-app,info.yash.social.app.controllers,FriendsController,63,6,0,0,15,1,4,1,4,1
social-app,info.yash.social.app.controllers,IndexController,57,6,6,0,16,1,6,1,3,1
social-app,info.yash.social.app.controllers,SettingsController,108,12,6,0,24,1,7,1,4,1
social-app,info.yash.social.app.controllers,UsersController,61,6,4,0,10,1,3,1,1,1
social-app,info.yash.social.app.controllers,MessagesController,92,9,2,0,23,1,5,1,4,1
social-app,info.yash.social.app.controllers,ProfileController,75,12,2,0,17,1,3,1,2,1
social-app,info.yash.social.app.dto,PasswordChangeDTO,48,0,0,0,8,0,10,0,10,0
social-app,info.yash.social.app.dto,PasswordChangeDTO.PasswordChangeDTOBuilder,36,0,0,0,1,0,6,0,6,0
social-app,info.yash.social.app.dto,PageDTO.PageDTOBuilder,54,0,0,0,1,0,8,0,8,0
social-app,info.yash.social.app.dto,UserDTO.UserDTOBuilder,108,0,0,0,1,0,14,0,14,0
social-app,info.yash.social.app.dto,UserDTO,176,0,6,0,21,0,31,0,28,0
social-app,info.yash.social.app.dto,MessageDTO.MessageDTOBuilder,54,0,0,0,1,0,8,0,8,0
social-app,info.yash.social.app.dto,PageDTO,60,0,0,0,9,0,13,0,13,0
social-app,info.yash.social.app.dto,MessageDTO,60,0,0,0,9,0,13,0,13,0
social-app,info.yash.social.app.converters,UserDtoToUserConverter,42,6,2,0,12,1,2,1,1,1
social-app,info.yash.social.app.converters,MessageDtoToMessageConverter,25,6,2,0,8,1,2,1,1,1
social-app,info.yash.social.app.converters,MessageToMessageDtoConverter,39,6,4,0,10,1,3,1,1,1
social-app,info.yash.social.app.converters,UserToUserDtoConverter,48,3,2,0,14,1,3,1,2,1
social-app,info.yash.social.app.converters,PageToPageDtoUserConverter,36,6,0,0,10,1,2,1,2,1
social-app,info.yash.social.app.entities,User,144,8,6,0,18,2,27,1,24,1
social-app,info.yash.social.app.entities,Friendship,47,3,0,0,7,1,10,1,10,1
social-app,info.yash.social.app.entities,Message.MessageBuilder,54,0,0,0,1,0,8,0,8,0
social-app,info.yash.social.app.entities,Friendship.FriendshipBuilder,45,0,0,0,1,0,7,0,7,0
social-app,info.yash.social.app.entities,Message,57,3,0,0,8,1,12,1,12,1
social-app,info.yash.social.app.entities,Role,27,3,0,0,5,1,6,1,6,1
social-app,info.yash.social.app.entities,Role.RoleBuilder,27,0,0,0,1,0,5,0,5,0
social-app,info.yash.social.app.entities,User.UserBuilder,99,0,0,0,1,0,13,0,13,0
social-app,info.yash.social.app.config,LocalizationConfiguration,0,31,0,0,0,9,0,4,0,4
social-app,info.yash.social.app.config,BcryptPasswordEncoderConfig,0,7,0,0,0,2,0,2,0,2
social-app,info.yash.social.app.config,CustomAuthenticationSuccessHandler,17,6,0,0,4,1,1,1,1,1
social-app,info.yash.social.app.config,ApplicationSecurityConfig,0,97,0,0,0,22,0,4,0,4
social-app,info.yash.social.app.validation,PasswordValidator,11,0,2,0,4,0,3,0,2,0
social-app,info.yash.social.app.validation,EmailValidator,11,0,2,0,4,0,3,0,2,0
social-app,info.yash.social.app.validation,FieldMatchValidator,63,0,10,0,17,0,8,0,3,0
social-app,info.yash.social.app.service.impl,MessagesServiceImpl,94,12,2,0,18,1,7,1,6,1
social-app,info.yash.social.app.service.impl,ImageServiceImpl,51,10,2,0,11,2,4,2,3,2
social-app,info.yash.social.app.service.impl,FriendsServiceImpl,251,15,8,0,48,1,15,1,11,1
social-app,info.yash.social.app.service.impl,UserDetailsServiceImpl,37,6,2,0,8,3,4,1,3,1
social-app,info.yash.social.app.service.impl,UserServiceImpl,200,21,2,0,44,1,14,1,13,1
social-app,info.yash.social.app,SocialNetworkApplication,5,3,0,0,2,1,1,1,1,1
social-app,info.yash.social.app.utils,ServerUtils,16,0,0,0,3,0,3,0,3,0
social-app,info.yash.social.app.exceptions,UserNotFoundException,16,0,0,0,8,0,4,0,4,0
social-app,info.yash.social.app.exceptions,SocialNetworkException,16,0,0,0,8,0,4,0,4,0
social-app,info.yash.social.app.initializer,ImageInitializer,3,60,1,3,2,13,1,3,0,2
social-app,info.yash.social.app.constants,Constants,3,0,0,0,1,0,1,0,1,0
social-app,info.yash.social.app.constants,Gender,80,0,10,0,19,0,10,0,4,0
social-app,info.yash.social.app.exceptionHandling,ResponseExceptionHandler,57,7,0,0,16,2,3,2,3,2
